ID,实例名,状态,地域,可用区,实例类型,实例规格,CPU(核数),内存(GB),GPU(卡数),操作系统,镜像Id,带宽(Mbps),主IPv4公网IP,主IPv4内网IP,主IPv4RdmaIP,主IPv6地址,系统盘类型,系统盘大小(GiB),VpcId,Vpc名称,子网Id,子网名称,网络类型,创建时间,到期时间,实例计费模式,网络计费模式,所属项目,专用宿主机ID,置放群组ID,高性能计算集群ID,数据盘_0_类型,数据盘_0_大小（GiB）,数据盘_1_类型,数据盘_1_大小（GiB）,数据盘_2_类型,数据盘_2_大小（GiB）,数据盘_3_类型,数据盘_3_大小（GiB）,标签_with-snapshot
ins-0p0dt78l,TCVMZY0008,运行中,上海,上海五区,标准型S5,S5.LARGE16,4,16,0,CentOS 7.6 64位,img-0yssjfdb,0Mbps,,10.82.87.13,,,CLOUD_PREMIUM,50,vpc-mjk631zi,TVPCZY0001,subnet-lrmdnuid,TIPSZY0014,TVPCZY0001,2024-05-23 17:16:46,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,200,CLOUD_PREMIUM,200,,,,,
ins-8g6cjty9,TCVMZY0010,运行中,上海,上海五区,标准型S5,S5.MEDIUM8,2,8,0,CentOS 7.6 64位,img-12a6lkeh,0Mbps,,10.82.87.4,,,CLOUD_PREMIUM,50,vpc-mjk631zi,TVPCZY0001,subnet-lrmdnuid,TIPSZY0014,TVPCZY0001,2024-05-23 17:16:47,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,100,CLOUD_PREMIUM,100,,,,,
ins-9cj6ohs5,TCVMZY0006,运行中,上海,上海五区,标准型S5,S5.LARGE16,4,16,0,CentOS 7.6 64位,img-12a6lkeh,0Mbps,,10.82.87.9,,,CLOUD_PREMIUM,50,vpc-mjk631zi,TVPCZY0001,subnet-lrmdnuid,TIPSZY0014,TVPCZY0001,2024-05-23 17:16:50,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,100,CLOUD_PREMIUM,200,,,,,
ins-32slct0r,TCVMZY0014,运行中,上海,上海五区,标准型S5,S5.4XLARGE32,16,32,0,CentOS 7.6 64位,img-12a6lkeh,0Mbps,,10.82.87.11,,,CLOUD_PREMIUM,50,vpc-mjk631zi,TVPCZY0001,subnet-lrmdnuid,TIPSZY0014,TVPCZY0001,2024-05-23 17:16:51,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,200,CLOUD_PREMIUM,100,,,,,
ins-3ykb4nfz,TCVMZY0013,运行中,上海,上海五区,标准型S5,S5.2XLARGE32,8,32,0,CentOS 7.6 64位,img-12a6lkeh,0Mbps,,10.82.87.10,,,CLOUD_PREMIUM,50,vpc-mjk631zi,TVPCZY0001,subnet-lrmdnuid,TIPSZY0014,TVPCZY0001,2024-05-23 17:16:52,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,300,CLOUD_PREMIUM,300,,,,,
ins-5ms15jdb,TCVMZY0016,运行中,上海,上海五区,标准型S5,S5.2XLARGE32,8,32,0,CentOS 7.6 64位,img-12a6lkeh,0Mbps,,10.82.87.18,,,CLOUD_PREMIUM,50,vpc-mjk631zi,TVPCZY0001,subnet-lrmdnuid,TIPSZY0014,TVPCZY0001,2024-05-23 17:25:45,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,200,CLOUD_PREMIUM,100,,,,,
ins-odtg38nd,TCVMZY0017,运行中,上海,上海五区,标准型S5,S5.2XLARGE32,8,32,0,CentOS 7.6 64位,img-12a6lkeh,0Mbps,,10.82.87.20,,,CLOUD_PREMIUM,50,vpc-mjk631zi,TVPCZY0001,subnet-lrmdnuid,TIPSZY0014,TVPCZY0001,2024-05-23 17:26:14,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,200,CLOUD_PREMIUM,100,,,,,
ins-4qgsueuf,TCVMZY0018,运行中,上海,上海五区,标准型S5,S5.4XLARGE32,16,32,0,CentOS 7.6 64位,img-12a6lkeh,0Mbps,,10.82.87.31,,,CLOUD_PREMIUM,50,vpc-mjk631zi,TVPCZY0001,subnet-lrmdnuid,TIPSZY0014,TVPCZY0001,2024-05-23 17:27:17,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,100,CLOUD_PREMIUM,200,,,,,
ins-ehfb4mkl,TCVMZY0019,运行中,上海,上海五区,标准型S5,S5.4XLARGE32,16,32,0,CentOS 7.6 64位,img-12a6lkeh,0Mbps,,10.82.87.28,,,CLOUD_PREMIUM,50,vpc-mjk631zi,TVPCZY0001,subnet-lrmdnuid,TIPSZY0014,TVPCZY0001,2024-05-23 17:28:13,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,200,CLOUD_PREMIUM,100,,,,,
ins-303h8h9d,TCVMBB0011,运行中,上海,上海五区,标准型S5,S5.MEDIUM4,2,4,0,CentOS 7.6 64位,img-0yssjfdb,0Mbps,,10.82.76.3,,,CLOUD_PREMIUM,100,vpc-8z15k19k,TVPCBB0002,subnet-7c81o3bv,TIPSBB0004,TVPCBB0002,2024-05-23 18:30:21,,CDC计费,,默认项目,,,,CLOUD_PREMIUM,50,,,,,,,
