instance_id,status,message,task_id
ins-gdt352qx,失败,不支持状态为已关机的实例ins-gdt352qx (173bfcae),无
ins-dhxwp7if,失败,不支持状态为已关机的实例ins-dhxwp7if (1a983900),无
ins-5u085f8j,失败,不支持状态为已关机的实例ins-5u085f8j (cdab08ad),无
ins-812cstl1,失败,不支持状态为已关机的实例ins-812cstl1 (06a2b93e),无
ins-rzcydvcx,失败,不支持状态为已关机的实例ins-rzcydvcx (83fee86e),无
ins-n8vg3iw9,失败,不支持状态为已关机的实例ins-n8vg3iw9 (72ed308e),无
ins-ht0mr30r,失败,不支持状态为已关机的实例ins-ht0mr30r (8176d83c),无
ins-2zt3yy2p,失败,不支持状态为已关机的实例ins-2zt3yy2p (ae4e6c86),无
ins-edasqhgj,失败,不支持状态为已关机的实例ins-edasqhgj (5fd62f70),无
ins-4n153moz,失败,不支持状态为已关机的实例ins-4n153moz (65095724),无
ins-bf0f7k6f,成功,操作成功完成,2079157680
ins-qv3hojmp,失败,不支持状态为已关机的实例ins-qv3hojmp (0909831d),无
ins-o4nuehnx,失败,不支持状态为已关机的实例ins-o4nuehnx (57754169),无
ins-hgqsn7zb,失败,不支持状态为已关机的实例ins-hgqsn7zb (db4199a2),无
ins-mu5kdc4j,失败,不支持状态为已关机的实例ins-mu5kdc4j (49ad7ed5),无
ins-cz8u9b67,失败,不支持状态为已关机的实例ins-cz8u9b67 (78d32563),无
ins-jg930cjl,失败,不支持状态为已关机的实例ins-jg930cjl (e61b8f98),无
ins-ft2lhj57,失败,不支持状态为已关机的实例ins-ft2lhj57 (bd198f70),无
ins-651jukzz,失败,不支持状态为已关机的实例ins-651jukzz (7f077195),无
ins-3y5dx7fp,失败,不支持状态为已关机的实例ins-3y5dx7fp (37981714),无
ins-bj4q6kch,失败,不支持状态为已关机的实例ins-bj4q6kch (b5660cf7),无
ins-mtl21rnr,失败,不支持状态为已关机的实例ins-mtl21rnr (7dfeb291),无
ins-iv9s5jxp,失败,不支持状态为已关机的实例ins-iv9s5jxp (d5bd756c),无
ins-0wlkw4rt,失败,不支持状态为已关机的实例ins-0wlkw4rt (344ac28b),无
